score,legacy_quality_score,score_delta_vs_legacy,reward_landed,reward_best,stop_landed,trade_count,trades_per_month,max_drawdown_r,max_consecutive_losses,path_win_rate,proof,edge,ride,stability,viability,positive_cell_ratio,bars_per_signal,max_signal_run,trigger_indicator_count,indicator_ids,lookbacks,flags,run_id,candidate_name,artifact_dir,profile_path
81.4874,78.6117,2.8757,12.0,10.5,0.08,110.0,3.060656649972176,2.0775,22.0,0.2,0.995542,0.828438,0.479257,0.93046,0.976934,0.8896,1988.8273,3.0,1.0,ULTOSC_TREND|MA_SPREAD_MEAN_REVERSION|WICK_REJECTION,1|1|1,high_r_10_plus|r_12_plus|loss_streak_20_plus,20260430T230050390397Z-agentic-7e9992,eval_sw_cand18c_top_20260430T232130487420Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\evals\eval_sw_cand18c_top_20260430T232130487420Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T230050390397Z-agentic-7e9992\profiles\sw_cand18c_top.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.42,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_cand_hybrid1_20260501T010754881304Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_cand_hybrid1_20260501T010754881304Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\cand_hybrid1.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.42,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_sw_hyb_top_20260501T011037055754Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_sw_hyb_top_20260501T011037055754Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\sw_hyb_top.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.42,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_sw_lb_top_20260501T012133591431Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_sw_lb_top_20260501T012133591431Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\sw_lb_top.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.42,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_sw_tune_top_20260501T012741408292Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_sw_tune_top_20260501T012741408292Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\sw_tune_top.json
80.584,72.4406,8.1434,12.0,11.5,0.22,50.0,1.391207568169171,1.9286,21.0,0.24,0.943494,0.917267,0.444333,0.962341,0.918272,0.7808,4375.36,1.0,1.0,MACD_CROSSOVER|MA_SLOPE_TREND,1|1,high_r_10_plus|r_12_plus|low_cadence_lt_2pm|loss_streak_20_plus|weak_ride_lt_45,20260501T004246401500Z-agentic-1b8fa5,eval_cand7_20260501T005220878228Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\evals\eval_cand7_20260501T005220878228Z,C:\repos\fuzzfolio-autoresearch\runs\20260501T004246401500Z-agentic-1b8fa5\profiles\cand7.json
80.2574,63.8503,16.4071,12.0,12.5,0.08,20.0,0.5564830272676684,0.8591,7.0,0.25,0.774342,0.943011,0.669367,0.895133,0.761071,0.9744,10938.55,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_evo3_top_20260430T235651683192Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_evo3_top_20260430T235651683192Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\evo3_top.json
80.2574,63.8503,16.4071,12.0,12.5,0.08,20.0,0.5564830272676684,0.8591,7.0,0.25,0.774342,0.943011,0.669367,0.895133,0.761071,0.9744,10938.55,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det2_top_20260430T235914077517Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det2_top_20260430T235914077517Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det2_top.json
80.2574,63.8503,16.4071,12.0,12.5,0.08,20.0,0.5564830272676684,0.8591,7.0,0.25,0.774342,0.943011,0.669367,0.895133,0.761071,0.9744,10938.55,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det4_top_20260501T000108766062Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det4_top_20260501T000108766062Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det4_top.json
80.2574,63.8503,16.4071,12.0,12.5,0.08,20.0,0.5564830272676684,0.8591,7.0,0.25,0.774342,0.943011,0.669367,0.895133,0.761071,0.9744,10938.55,1.0,1.0,MFI_MEAN_REVERSION|STOCHF_MEAN_REVERSION|RSI_CROSSBACK,1|1|1,high_r_10_plus|r_12_plus|thin_sample_lt_36|low_cadence_lt_2pm,20260430T234454261065Z-agentic-c237af,eval_det6_top_20260501T000307768425Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\evals\eval_det6_top_20260501T000307768425Z,C:\repos\fuzzfolio-autoresearch\runs\20260430T234454261065Z-agentic-c237af\profiles\det6_top.json
