anchor_type,anchor_id,anchor_signal_role,anchor_strategy_role,trigger_id,trigger_strategy_role,compatibility_prior_score,compatibility_label,shared_base_indicator
profile_value,ROLLING_VOLUME_PROFILE_CONTEXT,filter,filter,BREAKOUT_FIRST_CLOSE,breakout,65.7,medium,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,EHLERS_FISHER_TRANSITION,confirm,94.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,KEY_REVERSAL_SIGNAL,confirm,94.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,CANDLE_DIRECTION_INDEX,confirm,92.9,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,THRUST_BAR_SIGNAL,confirm,92.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,TOBY_CRABEL_NARROW_RANGE,confirm,92.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,PMO_CROSSOVER,confirm,90.5,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,PRICE_RECLAIM_MA,confirm,90.5,high,False
trend,ADX,filter,,EHLERS_FISHER_TRANSITION,confirm,90.1,high,False
trend,ADX,filter,,KEY_REVERSAL_SIGNAL,confirm,90.1,high,False
trend,MA_SLOPE_TREND,context,trend,EHLERS_FISHER_TRANSITION,confirm,89.3,high,False
trend,MA_SLOPE_TREND,context,trend,KEY_REVERSAL_SIGNAL,confirm,89.3,high,False
trend,ADX,filter,,CANDLE_DIRECTION_INDEX,confirm,88.9,high,False
trend,ADX,filter,,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,88.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,88.3,high,False
trend,ADX,filter,,THRUST_BAR_SIGNAL,confirm,88.3,high,False
trend,ADX,filter,,TOBY_CRABEL_NARROW_RANGE,confirm,88.3,high,False
trend,MA_SLOPE_TREND,context,trend,CANDLE_DIRECTION_INDEX,confirm,88.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,KST_CROSSOVER,confirm,88.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,MARKET_MODE_TRANSITION,confirm,88.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,TTF_DSL_TRANSITION,confirm,88.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,WAVETREND_CROSSOVER,confirm,88.1,high,False
trend,MA_SLOPE_TREND,context,trend,BUFFERED_RANGE_BREAKOUT_SIGNAL,breakout,87.5,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,NVO_VOLUME_IMPULSE,confirm,87.5,high,False
trend,MA_SLOPE_TREND,context,trend,THRUST_BAR_SIGNAL,confirm,87.5,high,False
trend,MA_SLOPE_TREND,context,trend,TOBY_CRABEL_NARROW_RANGE,confirm,87.5,high,False
trend,ADX,filter,,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,86.5,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,86.5,high,False
trend,ADX,filter,,PMO_CROSSOVER,confirm,86.5,high,False
trend,ADX,filter,,PRICE_RECLAIM_MA,confirm,86.5,high,False
trend,MA_SLOPE_TREND,context,trend,BOLLINGER_KELTNER_SQUEEZE_RELEASE,breakout,85.7,high,False
trend,MA_SLOPE_TREND,context,trend,PMO_CROSSOVER,confirm,85.7,high,False
trend,MA_SLOPE_TREND,context,trend,PRICE_RECLAIM_MA,confirm,85.7,high,False
trend,ADX,filter,,BREAKOUT_FIRST_CLOSE,breakout,84.1,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,BREAKOUT_FIRST_CLOSE,breakout,84.1,high,False
trend,ADX,filter,,KST_CROSSOVER,confirm,84.1,high,False
trend,ADX,filter,,MARKET_MODE_TRANSITION,confirm,84.1,high,False
trend,ADX,filter,,TTF_DSL_TRANSITION,confirm,84.1,high,False
trend,ADX,filter,,WAVETREND_CROSSOVER,confirm,84.1,high,False
trend,ADX,filter,,NVO_VOLUME_IMPULSE,confirm,83.5,high,False
trend,MA_SLOPE_TREND,context,trend,BREAKOUT_FIRST_CLOSE,breakout,83.3,high,False
trend,MA_SLOPE_TREND,context,trend,KST_CROSSOVER,confirm,83.3,high,False
trend,MA_SLOPE_TREND,context,trend,MARKET_MODE_TRANSITION,confirm,83.3,high,False
trend,MA_SLOPE_TREND,context,trend,TTF_DSL_TRANSITION,confirm,83.3,high,False
trend,MA_SLOPE_TREND,context,trend,WAVETREND_CROSSOVER,confirm,83.3,high,False
trend,MA_SLOPE_TREND,context,trend,NVO_VOLUME_IMPULSE,confirm,82.7,high,False
trend,ADX,filter,,CANDLESTICK_PATTERNS,,74.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,CANDLESTICK_PATTERNS,,74.3,high,False
trend,ADX,filter,,MACD_CROSSOVER,,74.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,MACD_CROSSOVER,,74.3,high,False
trend,ADX,filter,,STOCH_CROSSOVER,,74.3,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,STOCH_CROSSOVER,,74.3,high,False
trend,MA_SLOPE_TREND,context,trend,CANDLESTICK_PATTERNS,,73.5,high,False
trend,MA_SLOPE_TREND,context,trend,MACD_CROSSOVER,,73.5,high,False
trend,MA_SLOPE_TREND,context,trend,STOCH_CROSSOVER,,73.5,high,False
trend,ADX,filter,,MA_CROSSOVER,,72.5,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,MA_CROSSOVER,,72.5,high,False
trend,ADX,filter,,RSI_CROSSBACK,mean-reversion,72.5,high,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,RSI_CROSSBACK,mean-reversion,72.5,high,False
trend,MA_SLOPE_TREND,context,trend,MA_CROSSOVER,,71.7,medium,False
trend,MA_SLOPE_TREND,context,trend,RSI_CROSSBACK,mean-reversion,71.7,medium,False
trend,ADX,filter,,CHANNEL_REENTRY,mean-reversion,70.1,medium,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,CHANNEL_REENTRY,mean-reversion,70.1,medium,False
trend,ADX,filter,,STOCHRSI_CROSSBACK,mean-reversion,70.1,medium,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,STOCHRSI_CROSSBACK,mean-reversion,70.1,medium,False
trend,ADX,filter,,WICK_REJECTION,mean-reversion,69.5,medium,False
trend,KALMAN_VELOCITY_CONFIRM,setup,confirm,WICK_REJECTION,mean-reversion,69.5,medium,False
trend,MA_SLOPE_TREND,context,trend,CHANNEL_REENTRY,mean-reversion,69.3,medium,False
trend,MA_SLOPE_TREND,context,trend,STOCHRSI_CROSSBACK,mean-reversion,69.3,medium,False
trend,MA_SLOPE_TREND,context,trend,WICK_REJECTION,mean-reversion,68.7,medium,False
