side,indicator_id,signal_role,strategy_role,namespace,tested_count,positive_count,strong_count,best_score,avg_positive_score,top_partners,top_partner_strategy_roles,top_timeframes,top_lanes
second,MACD_HISTOGRAM_PIPS_MEAN_REVERSION,setup,mean-reversion,Momentum,172,15,4,73.8841,65.0032,"MARKET_MODE_TRANSITION,BOLLINGER_KELTNER_SQUEEZE_RELEASE,DONCHIAN_CHANNEL_BREAKOUT,BREAKOUT_FIRST_CLOSE,MFI_TREND,CCI_TREND,TTF_DSL_TRANSITION,MA_SLOPE_TREND","breakout,trend,confirm,filter,unknown","M15,M5","wild_diversity,plausible_novel,proven_neighbor"
second,MA_DISTANCE_MEAN_REVERSION,setup,mean-reversion,Trend,172,19,1,73.7761,62.1133,"MINUS_DI_TREND,KALMAN_VELOCITY_CONFIRM,BOLLINGER_KELTNER_SQUEEZE_RELEASE,ULTOSC_TREND,STOCH_TREND,SPEARMAN_RANK_CORRELATION,KELTNER_CHANNEL_BREAKOUT,WILLR_TREND","trend,confirm,breakout,filter","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
second,BOLLINGER_KELTNER_SQUEEZE_FILTER,filter,filter,Volatility,172,11,1,73.6896,62.2048,"RSI_CROSSBACK,RSI_MEAN_REVERSION,PLUS_DI_TREND,WAVETREND_CROSSOVER,MINUS_DI_MEAN_REVERSION,GARCH_VOLATILITY_REGIME,ULTOSC_MEAN_REVERSION,MA_SLOPE_TREND","mean-reversion,trend,confirm,filter","M5,M15","proven_neighbor,wild_diversity"
second,OBV_TREND,context,trend,Volume,172,15,3,73.6155,61.4018,"CHANNEL_REENTRY,WILLR_MEAN_REVERSION,RSI_CROSSBACK,WAVETREND_CROSSOVER,CMO_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,STOCH_MEAN_REVERSION,RSI_MEAN_REVERSION","mean-reversion,confirm,filter","M5,M15","wild_diversity,proven_neighbor"
second,ADOSC_MEAN_REVERSION,context,mean-reversion,Volume,172,13,1,73.544,60.9987,"BBANDS_POSITION_TREND,CCI_TREND,STOCH_TREND,WEIS_WAVE_FORCE_TREND,CANDLE_DIRECTION_INDEX,PMO_CROSSOVER,MFI_TREND,GARCH_VOLATILITY_REGIME","trend,confirm,filter","M15,M5","wild_diversity,proven_neighbor"
second,RSI_MEAN_REVERSION,setup,mean-reversion,Momentum,172,23,5,73.3871,64.3423,"TOBY_CRABEL_NARROW_RANGE,KST_CROSSOVER,WICK_REJECTION,WAVETREND_CROSSOVER,KEY_REVERSAL_SIGNAL,EHLERS_FISHER_TRANSITION,STOCHRSI_TREND,ADOSC_TREND","confirm,trend,filter,mean-reversion,unknown","M15,M5",proven_neighbor
second,MOM_MEAN_REVERSION,setup,mean-reversion,Momentum,172,23,4,73.247,60.5494,"PMO_CROSSOVER,KST_CROSSOVER,BUFFERED_RANGE_BREAKOUT_SIGNAL,MFI_TREND,WEIS_WAVE_FORCE_TREND,NVO_VOLUME_IMPULSE,MINUS_DI_TREND,CHAIKIN_AD_TREND","confirm,trend,breakout,filter,unknown","M5,M15","wild_diversity,plausible_novel,proven_neighbor"
second,ROOFING_FILTER_CONFIRM,setup,confirm,Momentum,172,22,2,73.1249,61.4355,"BBANDS_POSITION_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,CCI_MEAN_REVERSION,ULTOSC_MEAN_REVERSION,MACD_CROSSOVER,PLUS_DI_MEAN_REVERSION,WEIS_WAVE_FORCE_MEAN_REVERSION,WILLR_MEAN_REVERSION","mean-reversion,unknown,filter","M15,M5","plausible_novel,wild_diversity,proven_neighbor,under_tested_role_correct"
second,WEIS_WAVE_FORCE_MEAN_REVERSION,context,mean-reversion,Volume,172,13,1,73.0248,59.9819,"TOBY_CRABEL_NARROW_RANGE,MINUS_DI_TREND,WAVETREND_CROSSOVER,KALMAN_VELOCITY_CONFIRM,ROOFING_FILTER_CONFIRM,STOCHRSI_TREND,MFI_TREND,GARCH_VOLATILITY_REGIME","confirm,trend,filter,breakout,mean-reversion","M5,M15","wild_diversity,proven_neighbor"
second,STOCH_MEAN_REVERSION,setup,mean-reversion,Momentum,172,17,5,72.9958,62.8329,"TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,AROON_TREND,SPEARMAN_RANK_CORRELATION,WAVETREND_CROSSOVER,STOCHRSI_TREND,OBV_TREND,KST_CROSSOVER","confirm,trend,filter,unknown","M15,M5","plausible_novel,wild_diversity,proven_neighbor"
second,KELTNER_CHANNEL_MEAN_REVERSION,setup,mean-reversion,Channels,172,24,2,72.6748,61.8758,"KEY_REVERSAL_SIGNAL,SPEARMAN_RANK_CORRELATION,MA_DISTANCE_TREND,KST_CROSSOVER,SAR_TREND,WAVETREND_CROSSOVER,PMO_CROSSOVER,KALMAN_VELOCITY_CONFIRM","confirm,trend,filter","M15,M5","plausible_novel,proven_neighbor,wild_diversity"
second,KEY_REVERSAL_SIGNAL,trigger,confirm,Signals,170,14,2,72.6748,61.6564,"KELTNER_CHANNEL_MEAN_REVERSION,RSI_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,CCI_MEAN_REVERSION,MA_SLOPE_TREND,MFI_MEAN_REVERSION,CMO_MEAN_REVERSION,GARCH_VOLATILITY_REGIME","mean-reversion,trend,filter,unknown","M15,M5","plausible_novel,proven_neighbor,under_tested_role_correct"
second,DONCHIAN_CHANNEL_BREAKOUT,setup,breakout,Channels,172,9,1,72.6002,58.6423,"MACD_HISTOGRAM_PIPS_MEAN_REVERSION,ROLLING_VOLUME_PROFILE_CONTEXT,OBV_MEAN_REVERSION,MA_SPREAD_MEAN_REVERSION,SAR_MEAN_REVERSION,MFI_MEAN_REVERSION,GARCH_VOLATILITY_REGIME","mean-reversion,filter","M5,M15",plausible_novel
second,MA_CROSSOVER,trigger,,Signals,170,16,2,72.5921,61.2864,"ROOFING_FILTER_MEAN_REVERSION,TOBY_CRABEL_NARROW_RANGE,MFI_TREND,EHLERS_FISHER_TRANSITION,MACD_HISTOGRAM_PIPS_TREND,KST_CROSSOVER,SAR_TREND,BOLLINGER_KELTNER_SQUEEZE_RELEASE","confirm,trend,mean-reversion,breakout","M5,M15","plausible_novel,under_tested_role_correct,proven_neighbor,wild_diversity"
second,ROOFING_FILTER_MEAN_REVERSION,setup,mean-reversion,Momentum,172,8,2,72.5921,61.381,"MA_CROSSOVER,MARKET_MODE_TRANSITION,BOLLINGER_KELTNER_SQUEEZE_RELEASE,GARCH_VOLATILITY_REGIME,TRENDFLEX_CONFIRM,MA_SLOPE_MEAN_REVERSION","confirm,unknown,breakout,filter,mean-reversion","M5,M15","wild_diversity,plausible_novel"
second,BBANDS_POSITION_TREND,setup,trend,Volatility,172,6,1,72.419,61.0058,"MA_SPREAD_MEAN_REVERSION,ROLLING_VOLUME_PROFILE_CONTEXT,CHAIKIN_AD_MEAN_REVERSION,SAR_MEAN_REVERSION,MFI_MEAN_REVERSION,ADOSC_MEAN_REVERSION","mean-reversion,filter","M5,M15",plausible_novel
second,WICK_REJECTION,trigger,mean-reversion,Patterns,171,11,1,72.4002,60.4353,"RSI_MEAN_REVERSION,RSI_CROSSBACK,PLUS_DI_TREND,CHANNEL_REENTRY,WAVETREND_CROSSOVER,GARCH_VOLATILITY_REGIME,PLUS_DI_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION","mean-reversion,trend,confirm,filter","M15,M5","proven_neighbor,plausible_novel,under_tested_role_correct,wild_diversity"
second,STOCHRSI_CROSSBACK,trigger,mean-reversion,Signals,172,9,1,72.1982,59.6232,"BBANDS_POSITION_MEAN_REVERSION,STOCH_TREND,WEIS_WAVE_FORCE_TREND,GARCH_VOLATILITY_REGIME,RSI_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,STOCHF_MEAN_REVERSION","trend,mean-reversion,filter","M15,M5","plausible_novel,proven_neighbor"
second,MINUS_DI_TREND,context,trend,Trend,172,12,1,72.1137,61.9144,"PLUS_DI_TREND,BUFFERED_RANGE_BREAKOUT_SIGNAL,WEIS_WAVE_FORCE_MEAN_REVERSION,NVO_VOLUME_IMPULSE,KELTNER_CHANNEL_MEAN_REVERSION,MOM_MEAN_REVERSION,PRICE_RECLAIM_MA,WICK_REJECTION","mean-reversion,trend,confirm,breakout","M15,M5",wild_diversity
second,STOCHF_MEAN_REVERSION,setup,mean-reversion,Momentum,172,17,3,72.0333,60.5832,"WAVETREND_CROSSOVER,PMO_CROSSOVER,MARKET_MODE_TRANSITION,EHLERS_FISHER_TRANSITION,OBV_TREND,PLUS_DI_TREND,NVO_VOLUME_IMPULSE,STOCH_CROSSOVER","confirm,trend,filter,unknown,mean-reversion","M15,M5","wild_diversity,plausible_novel,proven_neighbor"
second,BUFFERED_RANGE_BREAKOUT_SIGNAL,trigger,breakout,Signals,172,19,2,71.9583,59.4248,"MOM_MEAN_REVERSION,MARKET_MODE_TRANSITION,CMO_MEAN_REVERSION,RSI_TREND,AROON_MEAN_REVERSION,PLUS_DI_MEAN_REVERSION,MINUS_DI_MEAN_REVERSION,MFI_TREND","mean-reversion,trend,confirm,filter","M15,M5","plausible_novel,wild_diversity"
second,AROON_MEAN_REVERSION,context,mean-reversion,Momentum,172,22,2,71.8923,61.1553,"CANDLE_DIRECTION_INDEX,THRUST_BAR_SIGNAL,KALMAN_VELOCITY_CONFIRM,KST_CROSSOVER,MINUS_DI_TREND,WILLR_TREND,NVO_VOLUME_IMPULSE,TRENDFLEX_CONFIRM","confirm,trend,unknown,filter,breakout,mean-reversion","M5,M15","wild_diversity,proven_neighbor"
