timing_probe_id,timing_rank,base_probe_id,base_queue_rank,variant_side,variant_indicator_id,variant_lookback_bars,baseline_lookback_bars,anchor_type,anchor_id,trigger_id,probe_timeframe,pair_prior_score,pair_prior_bucket,baseline_status,baseline_composite_score,baseline_signal_count,baseline_best_expectancy_r,baseline_best_trades,baseline_best_profit_factor,profile_id,output_dir,status,primary_score,composite_score,score_delta,score_basis,signal_count,signal_count_delta,best_expectancy_r,expectancy_delta,best_trades,trade_delta,best_win_rate,best_profit_factor,profit_factor_delta,timing_bucket,error
l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1,11,l3-006-adx-pmo-crossover-m5,6,trigger,PMO_CROSSOVER,1,2,trend,ADX,PMO_CROSSOVER,M5,86.99,probe_now,skipped_existing,0.0,1926.0,-0.0785,1889,0.7804,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-011-l3-006-adx-pmo-crossover-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",982.0,-944.0,-0.0774,0.0011000000000000038,965,-924.0,0.6802,0.7806,0.00019999999999997797,neutral,
l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3,12,l3-006-adx-pmo-crossover-m5,6,trigger,PMO_CROSSOVER,3,2,trend,ADX,PMO_CROSSOVER,M5,86.99,probe_now,skipped_existing,0.0,1926.0,-0.0785,1889,0.7804,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-012-l3-006-adx-pmo-crossover-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2807.0,881.0,-0.0844,-0.0059000000000000025,2753,864.0,0.6771,0.7679,-0.012499999999999956,neutral,
l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1,13,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,7,trigger,MARKET_MODE_TRANSITION,1,2,compression,TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,M15,86.9,probe_now,skipped_existing,0.0,125.0,-0.1205,120,0.8483,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-013-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",62.0,-63.0,-0.1534,-0.03290000000000001,60,-60.0,0.6414,0.7694,-0.07890000000000008,neutral,
l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3,14,l3-007-toby-crabel-narrow-range-market-mode-transition-m15,7,trigger,MARKET_MODE_TRANSITION,3,2,compression,TOBY_CRABEL_NARROW_RANGE,MARKET_MODE_TRANSITION,M15,86.9,probe_now,skipped_existing,0.0,125.0,-0.1205,120,0.8483,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-014-l3-007-toby-crabel-narrow-range-market-mode-transition-m15-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",186.0,61.0,-0.1125,0.007999999999999993,179,59.0,0.6608,0.8031,-0.04520000000000002,neutral,
l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1,15,l3-008-ma-slope-trend-pmo-crossover-m5,8,trigger,PMO_CROSSOVER,1,2,trend,MA_SLOPE_TREND,PMO_CROSSOVER,M5,86.73,probe_now,skipped_existing,60.5492,48.0,0.385,48,1.817,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-015-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb1,skipped_existing,64.7979,64.7979,4.2486999999999995,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",11.0,-37.0,1.1917,0.8067,11,-37.0,0.4583,1.7727,-0.044300000000000006,neutral,
l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3,16,l3-008-ma-slope-trend-pmo-crossover-m5,8,trigger,PMO_CROSSOVER,3,2,trend,MA_SLOPE_TREND,PMO_CROSSOVER,M5,86.73,probe_now,skipped_existing,60.5492,48.0,0.385,48,1.817,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-016-l3-008-ma-slope-trend-pmo-crossover-m5-tr-lb3,skipped_existing,50.3837,50.3837,-10.165500000000002,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",106.0,58.0,0.186,-0.199,104,56.0,0.256,1.3535,-0.4635,degraded,
l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1,17,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,9,trigger,PMO_CROSSOVER,1,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,PMO_CROSSOVER,M5,86.54,probe_now,ok,0.0,2776.0,-0.0921,2659,0.8612,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-017-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1370.0,-1406.0,-0.0805,0.0116,1314,-1345.0,0.5063,0.8781,0.016900000000000026,neutral,
l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3,18,l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5,9,trigger,PMO_CROSSOVER,3,2,compression,BOLLINGER_KELTNER_SQUEEZE_FILTER,PMO_CROSSOVER,M5,86.54,probe_now,ok,0.0,2776.0,-0.0921,2659,0.8612,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-018-l3-009-bollinger-keltner-squeeze-filter-pmo-crossover-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",4184.0,1408.0,-0.0961,-0.0040000000000000036,4082,1423.0,0.499,0.749,-0.11219999999999997,neutral,
l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1,19,l3-010-adx-toby-crabel-narrow-range-m5,10,trigger,TOBY_CRABEL_NARROW_RANGE,1,2,trend,ADX,TOBY_CRABEL_NARROW_RANGE,M5,86.54,probe_now,ok,0.0,1984.0,-0.0569,1955,0.8337,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-019-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb1,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",1272.0,-712.0,-0.0478,0.009099999999999997,1252,-703.0,0.696,0.8563,0.022599999999999953,neutral,
l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3,20,l3-010-adx-toby-crabel-narrow-range-m5,10,trigger,TOBY_CRABEL_NARROW_RANGE,3,2,trend,ADX,TOBY_CRABEL_NARROW_RANGE,M5,86.54,probe_now,ok,0.0,1984.0,-0.0569,1955,0.8337,,C:\repos\fuzzfolio-autoresearch\runs\derived\anchor-pair-timing-atlas\probe-results\l3b-020-l3-010-adx-toby-crabel-narrow-range-m5-tr-lb3,skipped_existing,0.0,0.0,0.0,"score_lab_v2_5_3:required_weighted_geometric_mean(proof 1.0x, edge 0.9x, ride 1.7x, stability 1.0x, viability 1.35x); missing mandatory axes score as zero",2658.0,674.0,-0.0627,-0.0058000000000000065,2618,663.0,0.6885,0.8173,-0.01639999999999997,neutral,
